approval_number,predicate_number,sample_size,num_sites,significance,severity,risk_level,body_area,modality,keywords,indications_for_use,inc_exc_criteria,has_demographics,is_prospective,subtype_analysis,image_acquisition,device_classification_name,device_name,applicant_name,applicant_contact,correspondent_name,regulation_number,classification_product_code,date_received,decision_date,decision,regulation_medical_specialty,review_panel,summary_link,type,reviewed_by_third_party,combination_product,classification_advisory,review_advisory,reclass_link
k192973,k170540,nan,nan,0,2,2,Breast,"FFDM,DBT",,densitas densityai is a software application intended for use with compatible full field digital mammography and digital breast tomosynthesis systems densitas densityai provides an acr bi rads atlas 5th edition breast density category to aid interpreting physicians in the assessment of breast tissue composition densitas densityai produces adjunctive information it is not a diagnostic aid,0,0,0,1,,"system, image processing, radiological",densitas densityai,mo  abdolell,mo  abdolell,alex  morris,892.205,llz,10/24/19,2/19/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k192973.pdf,special,no,no,,,
k193073,k183202;k172135,80,nan,1,1,2,Multiple,CT,neural network;deep learning,deep recon is a data driven image reconstruction method based on deep learning technology it is intended to produce cross sectional images by computer reconstruction of x ray transmission data taken at different angles planes including axial helical and cardiac acquisition deep recon is designed to generate ct images with lower image noise and improved low contrast detectability and it can reduce the dose required for diagnostic ct imaging deep recon can be used for head chest abdomen cardiac and vascular ct applications for adults deep recon is intended to be used with uct 760 and uct 780 only,0,0,0,,,"system, x-ray, tomography, computed",deep recon,shumei  wang,shumei  wang,shumei  wang,892.175,jak,11/4/19,7/6/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k193073.pdf,traditional,no,no,,,
k193087,k180647,336,7,1,2,3,Head,CT,neural network;deep learning;artificial intelligence,,0,0,0,0,,radiological computer-assisted triage and notification software,rapid ich,james  rosa,james  rosa,james  rosa,892.208,qas,11/6/19,3/31/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k193087.pdf,traditional,no,no,,,
k193097,k193021;k192574,160,nan,1,1,2,Multi,MR,neural network;deep learning,vantage orian 1 5t systems are indicated for use as a diagnostic imaging modality that produces cross sectional transaxial coronal sagittal and oblique images that display anatomic structures of the head or body additionally this system is capable of non contrast enhanced imaging such as mra mri magnetic resonance imaging images correspond to the spatial distribution of protons hydrogen nuclei that exhibit nuclear magnetic resonance nmr the nmr properties of body tissues and fluids are proton density pd also called hydrogen density spin lattice relaxation time t1 spin spin relaxation time t2 flow dynamics chemical shift depending on the region of interest contrast agents may be used when interpreted by a trained physician these images yield information that can be useful in diagnosis,0,0,0,,,"system, nuclear magnetic resonance imaging","vantage orian 1.5t, mrt-1550, v6.0 with aice reconstruction processing unit for mr",paul  biggins,paul  biggins,janine f. reyes,892.1,lnh,11/7/19,7/14/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k193097.pdf,traditional,no,no,,,
k193109,k182888;k013644,nan,nan,1,2,3,Brain,MR,neural network;machine learning,mrcat is a software add on for ingenia mr systems intended use mrcat imaging is intended to provide the operator with information of tissue properties for radiation attenuation estimation purposes in photon external beam radiotherapy treatment planning indications for use mrcat,0,0,0,,,"system, planning, radiation therapy treatment",mrcat brain,janne  marvola,janne  marvola,janne  marvola,892.505,muj,11/8/19,1/24/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k193109.pdf,traditional,no,no,,,
k193170,k133640;k163213;k131576;k183202;k133705,60,nan,1,1,2,Multiple,CT,neural network;deep learning,,0,0,0,,,"system, x-ray, tomography, computed",deep learning image reconstruction,tomohiro  ito,tomohiro  ito,helen  peng,892.175,jak,11/15/19,12/13/19,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k193170.pdf,special,no,no,,,
k193210,k172143;k182237,nan,nan,1,1,2,Multiple,"PET,CT",neural network,HYPER DLR is an image processing function intended to be used by radiologists and nuclear medicine physicians to reduce noise of the fluorodeoxyglucose (FDG) PET images.,0,0,0,,,"system, tomography, computed, emission",hyper dlr,shumei  wang,shumei  wang,shumei  wang,892.12,kps,11/21/19,8/4/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k193210.pdf,traditional,no,no,,,
k193216,k191040;k143196;k191309,nan,nan,1,1,2,Chest,CT,neural network;deep learning;machine learning,the syngo ct lung cad vc30 device is a computer aided detection cad tool designed to assist radiologists in the detection of solid pulmonary nodules during review of multi detector computed tomography mdct examinations of the chest the software is an adjunctive tool to alert the radiologist to regions of interest that may have been initially overlooked the syngo ct lung cad device is intended to be used as a second reader after the radiologist has completed his her initial read,0,0,0,0,,"lung computed tomography system, computer-aided detection",syngo.ct lung cad,abhineet  johri,abhineet  johri,abhineet  johri,892.205,oeb,11/21/19,3/9/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k193216.pdf,traditional,no,no,,,
k193220,k151283;k162484;k043617;k171199,192,2,1,1,2,Lung,CT,deep learning,a vmw t cs is intended for the review and analysis and reponing of thoracic c t images for the purpose of characterizing nodules in the hmg in a single study or over the time course of several thoracic sh1dies omracterizations include nodule type lor ation of lhe nodule and measurements such as size major axis minor axis t slimated effoctive diameter fi om the volume of the nodule the volume of the nodu le mean i hj the average value of the er pixel inside the nodule in hu minimum hu max hu mass mass calculated from the ct pixel value and volwnetric measures solid major length of the longest diameter measured in 11 for a solid portion of the nodule solid 2nd l tlajor the length of the longest diameter of the solid pai1 measured in sections perpendicular to the major axis of the solid portion of the nodule vdt volumr doubling time and lung rads dassification proposed lo ai l with findings the system automalir ally performs the measurement allowing lung nodules and measurement to he displayed and also integrate with 1 n a certified mevis cad computer aided detection k 043617,0,0,0,,,"system, image processing, radiological",aview lcs,hyeyi  park,hyeyi  park,hyeyi  park,892.205,llz,11/21/19,5/5/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k193220.pdf,traditional,no,no,,,
k193229,den180005;k181704;k192287,240,>1,2,2,4,Breast,"FFDM, DBT",deep learning,,0,0,0,0,vendors,radiological computer assisted detection/diagnosis software for lesions suspicious for cancer,transpara,umar  waqas,umar  waqas,umar  waqas,892.209,qdq,11/22/19,3/5/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k193229.pdf,traditional,no,no,,,
k193252,k190379;k181572,286,nan,1,1,2,Multiple,"CT,MR",neural network;machine learning,contour prot g ai is used by trained medical professionals as a tool to aid in the automated processing of digital medical images of modalities ct and mr as supported by acr nema dicom 3 0 contour prot g ai assists in the following indications the creation of contours using machine learning algorithms for applications including but not limited to quantitative analysis aiding adaptive therapy transferring contours to radiation therapy treatment planning systems and archiving contours for patient follow up and management segmenting normal structures across a variety of ct anatomical locations and segmenting normal structures of the prostate seminal vesicles and urethra within t2 weighted mr images contour prot g ai must be used in conjunction with mim software to review and if necessary edit contours that were automatically generated by contour prot g ai,0,0,0,,,radiological image processing software for radiation therapy,contour protegeai,lynn  hanigan,lynn  hanigan,lynn  hanigan,892.205,qkb,11/25/19,7/2/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k193252.pdf,traditional,no,no,,,
k193267,k123584;k183268;k123585,140,>1,1,1,2,Chest,CT,deep learning,ai rad companion musculoskeletal is an image processing software that provides quantitative and qualitative analysis from previously acquired computed tomography dicom images to support radiologists and physicians from emergency medicine specialty care urgent care and general practice in the evaluation and assessment of musculoskeletal disease it provides the following functionality segmentation of vertebras labelling of vertebras measurements of heights in each vertebra and indication if they are critically different measurement of mean hounsfield value in volume of interest within vertebra only dicom images of adult patients are considered to be valid input,0,0,0,0,vendors|reconstruction parameters,"system, x-ray, tomography, computed",al-rad companion (musculoskeletal),alaine  medio,alaine  medio,alaine  medio,892.175,jak,11/26/19,3/16/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k193267.pdf,traditional,no,no,,,
k193281,k110834;k081985;k041521;k133649,nan,nan,1,1,2,Liver,CT,neural network;deep learning,hepatic vcar is a ct image analysis software package that allows the analysis and visualization of liver ct data derived from dicom 3 0 compliant ct scans hepatic vcar is designed for the purpose of assessing liver morphology including liver lesion provided the lesion has different ct appearance from surrounding liver tissue and its change over time through automated tools for liver liver lobe liver segments and liver lesion segmentation and measurement it is intended for use by clinicians to process review archive print and distribute liver ct studies this software will assist the user by providing initial 3d segmentation vessel analysis visualization and quantitative analysis of liver anatomy the user has the ability to adjust the contour and confirm the final segmentation,0,0,0,0,,"system, x-ray, tomography, computed",hepatic vcar,lifeng  wang,lifeng  wang,lifeng  wang,892.175,jak,11/27/19,3/20/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k193281.pdf,traditional,no,no,,,
k193282,k183231,nan,nan,1,1,2,Multiple,MR,deep learning,,0,0,0,,,"system, nuclear magnetic resonance imaging",signa premier,glen  sabin,glen  sabin,glen  sabin,892.1,lnh,11/27/19,4/10/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k193282.pdf,traditional,no,no,,,
k193283,k180336,nan,nan,1,0,1,Prostate,MR,artificial intelligence,ai rad companion prostate mr is a post processing image analysis software that assists clinicians in viewing manipulating analyzing and evaluating mr prostate images for us guided mr us fusion biopsy support al rad companion prostate mr provides the following functionalities automatic segmentation and quantitative analysis ofthe prostate gland manual annotation ofrelevant ndings presentation and export of results for further processing and reporting,0,0,0,0,,automated radiological image processing software,ai-rad companion prostate mr,lauren  bentley,lauren  bentley,lauren  bentley,892.205,qih,11/27/19,7/30/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k193283.pdf,traditional,no,no,,,
k193290,k182904,nan,nan,1,2,3,Head,MR,,,0,0,0,0,,"system, image processing, radiological",ai-rad companion brain mr,lauren  bentley,lauren  bentley,lauren  bentley,892.205,llz,11/27/19,6/17/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k193290.pdf,traditional,no,no,,,
k193298,k180647,184,3,1,2,3,Abdomen,CT,deep learning;artificial intelligence,briefcase is a radiological computer aided triage and notification software indicated for use in the analysis of abdominal ct images the device is intended to assist hospital networks and trained radiologists in workflow triage by flagging and communication of suspected positive findings of intra abdominal free gas ifg pathologies briefcase uses an artificial intelligence algorithm to analyze images and highlight cases with detected findings on a standalone desktop application in parallel to the ongoing standard of care image interpretation the user is presented with notifications for cases with suspected findings notifications include compressed preview images that are meant for informational purposes only and not intended for diagnostic use beyond notification the device does not alter the original medical image and is not intended to be used as a diagnostic device the results of briefcase are intended to be used in conjunction with other patient information and based on their professional judgment to assist with triage prioritization of medical images notified clinicians are responsible for viewing full images per the standard of care,0,0,0,0,,radiological computer-assisted triage and notification software,briefcase,nimrod  epstein,nimrod  epstein,john j. smith,892.208,qas,11/27/19,6/19/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k193298.pdf,traditional,no,no,,,
k193300,k190362,300,2,1,2,3,Chest,X-Ray,artificial intelligence,the aimi triage cxr ptx application is a notification only triage workflow tool for use by hospital networks and clinics to identify and help prioritize chest x rays acquired in the acute setting for review by hospital radiologists the device operates in parallel to and independent of standard of care image interpretation workflow specifically the device uses an artificial intelligence algorithm to analyze images for features suggestive of moderate to large sized pneumothorax it makes case level output available to a pacs workstation for worklist prioritization or triage identification of suspected cases of moderate to large sized pneumothorax is not for diagnostic use beyond notification the aimi triage cxr ptx application is limited to analysis of imaging data as a guide to possible urgency of adult chest x ray image review and should not be used in lieu of full patient evaluation or relied upon to make or confirm diagnoses notified radiologists are responsible for engaging in appropriate patient evaluation as per local hospital procedure before making care related decisions or requests the device does not replace review and diagnosis of the x rays by radiologists the device is not intended to be used with plain film x rays,0,1,0,1,,radiological computer-assisted prioritization software for lesions,aimi-triage cxr ptx,moshe  becker,moshe  becker,john j. smith,892.208,qfm,11/27/19,4/8/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k193300.pdf,traditional,no,no,,,
k193351,k180647,nan,>20,1,2,3,Head,CT,machine learning;artificial intelligence,ninesai is a parallel workflow tool indicated for use by hospital networks and trained clinicians to identify images of specific patients to a radiologist independent of standard of care workflow to aid in prioritizing and performing the radiological review ninesai uses artificial intelligence algorithms to analyze head ct images for findings suggestive of a pre specified emergent clinical condition the software automatically analyzes digital imaging and communications in medicine dicom images as they arrive in the picture archive and communication system pacs using machine learning algorithms identification of suspected findings is not for diagnostic use beyond notification specifically the software analyzes head ct images of the brain to assess the suspected presence of intracranial hemorrhage and or mass effect and identifies images with potential emergent findings in a radiologist s worklist ninesai is intended to be used as a triage tool limited to analysis of imaging data and should not be used in lieu of full patient evaluation or relied upon to make or confirm a diagnosis additionally preview images displayed to the radiologist outside of the dicom viewer are non diagnostic quality and should only be used for informational purposes,0,1,0,0,vendors,radiological computer-assisted triage and notification software,ninesai,russell  stewart,russell  stewart,john j. smith,892.208,qas,12/3/19,4/21/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k193351.pdf,traditional,no,no,,,
k193417,den180005,175,nan,2,1,3,Bone,X-Ray,deep learning;machine learning,fracturedetect fx is a computer assisted detection and diagnosis cad software device to assist clinicians in detecting fractures during the review of radiographs of the musculoskeletal system fx is indicated for adults only fx is indicated for radiographs of the following industry standard radiographic views and study types study type anatomic area of interest radiographic view s supported ankle frontal lateral oblique clavicle frontal elbow frontal lateral femur frontal lateral forearm frontal lateral hip frontal frog leg lateral humerus frontal lateral knee frontal lateral pelvis frontal shoulder frontal lateral axillary tibia fibula frontal lateral wrist frontal lateral oblique for the purposes of this table frontal is considered inclusive of both posteroanterior pa and anteroposterior ap views definitions of anatomic area of interest and radiographic views are consistent with the american college of radiology acr standards and guidelines,1,0,0,1,brightness|vendors,radiological computer assisted detection/diagnosis software for fracture,fracturedetect (fx),robert  lindsey,robert  lindsey,donna-bea  tillman,892.209,qbs,12/9/19,7/30/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k193417.pdf,traditional,no,no,,,
k193631,k150272;k172296;k083903,nan,nan,0,0,1,Multi,nan,machine learning,the stethee pro 1 is an electronic stethoscope intended for screening and medical diagnostic purposes only it may be used for the detection and amplification of sounds from the heart lungs arteries veins and other internal organs with or without the use of selective frequencies it can be used on any person undergoing a physical assessment stethee pro 1 is intended for use with the stethee pro software system whose features enable recording playback visualization analysis management and reporting of patient samples and sharing this data with other authorized users,0,0,0,,,"stethoscope, electronic","stethee pro 1, stethee pro software system",nayyar  hussain,nayyar  hussain,ginger  cantor,870.1875,dqd,12/27/19,10/9/20,substantially equivalent     (sese),cardiovascular,cardiovascular,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k193631.pdf,traditional,no,no,,,
k193658,den170073;k180647,261,2,1,2,3,Head,CT,artificial intelligence,viz ich is a notification only parallel workflow tool for use by hospital networks and trained clinicians to identify and communicate images of specific patients to a specialist independent of standard of care workflow viz ich uses an artificial intelligence algorithm to analyze images for findings suggestive of a prespecified clinical condition and to notify an appropriate medical specialist of these findings in parallel to standard of care image interpretation identification of suspected findings is not for diagnostic use beyond notification specifically the device analyzes non contrast ct images of the brain acquired in the acute setting and sends notifications to a neurovascular or neurosurgical specialist that a suspected intracranial hemorrhage has been identified and recommends review of those images images can be previewed through a mobile application images that are previewed through the mobile application may be compressed and are for informational purposes only and not intended for diagnostic use beyond notification notified clinicians are responsible for viewing non compressed images on a diagnostic viewer and engaging in appropriate patient evaluation and relevant discussion with a treating physician before making care related decisions or requests viz ich is limited to analysis of imaging data and should not be used in lieu of full patient evaluation or relied upon to make or confirm diagnosis viz ich is contraindicated for analyzing non contrast ct scans that are acquired on scanners from manufacturers other than general electric ge or its subsidiaries i e ge healthcare this contraindication applies to ncct scans that conform to all applicable patient inclusion criteria are of adequate technical image quality and would otherwise be expected to be analyzed by the device for a suspected ich,1,1,0,0,,radiological computer-assisted triage and notification software,viz ich,gregory  ramina,gregory  ramina,gregory  ramina,892.208,qas,12/30/19,3/18/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k193658.pdf,traditional,no,no,,,
k200036,k113485;k062282,nan,nan,1,1,2,Heart,ECG,neural network;machine learning,the ai ecg tracker is intended to be used by qualified healthcare professionals in hospitals and healthcare facilities for the assessment of arrhythmias using ecg data acquired from adults age 22 and older without pacemakers the product supports downloading and analyzing data recorded from electrodes with conductive paste gel placed on standard location in compatible formats from any device used for the arrhythmia diagnostics such as holter event recorder 12 lead ambulatory ecg devices when assessment of the rhythm is necessary the ai ecg tracker provides ecg signal processing and analysis on a beat by beat basis qrs detection supraventricular and ventricular ectopic beat detection qrs feature extraction interval measurement heart rate measurement and rhythm analysis the ai ecg tracker is not for use in life supporting or sustaining systems or ecg monitoring and alarm devices the ai ecg tracker interpretation results are not intended to be the sole means of diagnosis for any abnormal ecg it is offered to physicians and clinicians on an advisory basis only in conjunction with the physician s knowledge of ecg patterns patient background clinical history symptoms and other diagnostic information,0,0,0,,,electrocardiograph,ai-ecg tracker,chang  liu,chang  liu,arthur  goddard,870.234,dps,1/8/20,3/20/20,substantially equivalent     (sese),cardiovascular,cardiovascular,http://www.accessdata.fda.gov/cdrh_docs/pdf20/k200036.pdf,traditional,no,no,,,
k200232,k220000;k161382;k132544;k130779;k180995,113,1,0,0,1,Heart,ECG,neural network;deep learning;machine learning,lvivo platform is intended for non invasive processing of ultrasound images to detect measure and calculate relevant medical parameters of structures and function of patients with suspected disease,1,0,0,,,automated radiological image processing software,lvivo software application,michal  yaacobi,michal  yaacobi,george  hattub,892.205,qih,1/30/20,6/23/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf20/k200232.pdf,traditional,no,no,,,
k200323,k130393;k181572,nan,nan,1,1,2,Mutliple,"CT,PET,MR",machine learning,assist radiation treatment planners,0,0,0,,,radiological image processing software for radiation therapy,autocontour,kurt  sysock,kurt  sysock,kurt  sysock,892.205,qkb,2/10/20,10/30/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf20/k200323.pdf,traditional,no,no,,,
k200356,k191647,nan,nan,2,1,3,Hip,Ultrasound,machine learning,view and quantify ultrasound image data using machine learning,0,0,0,0,,automated radiological image processing software,medo aria,dornoosh  zonoobi,dornoosh  zonoobi,dornoosh  zonoobi,892.205,qih,2/13/20,6/11/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf20/k200356.pdf,traditional,no,no,,,
k200569,k190387,nan,nan,1,1,2,Multi,Radiation,machine learning,raystation is a software system designed for treatment planning and analysis of radiation therapy the treatment plans provide treatment unit set up parameters and estimates of dose distributions expected during the proposed treatment and may be used to administer treatments after review and approval by the intended user the system functionality can be configured based on user needs the intended users of raystation shall be clinically qualified radiation therapy staff trained in using the system,0,0,0,,,"system, planning, radiation therapy treatment",raystation,viktoria  hammarstedt,viktoria  hammarstedt,viktoria  hammarstedt,892.505,muj,3/4/20,9/24/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf20/k200569.pdf,traditional,no,no,,,
k200595,k092868,15,3,0,0,1,Cellular,Microscope,neural network;artificial intelligence,,0,0,0,,,"device, automated cell-locating","cellavision dc-1, cellavision dc-1 ppa",magnus  johnsson,magnus  johnsson,jinjie  hu,864.526,joy,3/6/20,10/16/20,substantially equivalent     (sese),hematology,hematology,http://www.accessdata.fda.gov/cdrh_docs/reviews/k200595.pdf,traditional,no,no,,,
k200621,k173780,nan,nan,1,2,3,Heart,"Ultrasound,ECG",machine learning,the caption interpretation automated ejection fraction software is used to process previously acquired transthoracic cardiac ultrasound images to store images and to manipulate and make measurements on images using an ultrasound device personal computer or a compatible dicom compliant pacs system in order to provide automated estimation of left ventricular ejection fraction this measurement can be used to assist the clinician in a cardiac evaluation the caption interpretation automated ejection fraction software is indicated for use in adult patients,0,0,0,0,,automated radiological image processing software,caption interpretation automated ejection fraction software,sam  surette,sam  surette,sam  surette,892.205,qih,3/9/20,7/22/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf20/k200621.pdf,traditional,no,no,,,
k200667,den180001,655,11,1,1,2,Eye,AF Camera,deep learning;machine learning;artificial intelligence,,0,1,1,,,diabetic retinopathy detection device,eyeart,kaushal  solanki,kaushal  solanki,kaushal  solanki,886.11,pib,3/13/20,8/3/20,substantially equivalent     (sese),ophthalmic,ophthalmic,http://www.accessdata.fda.gov/cdrh_docs/pdf20/k200667.pdf,traditional,no,no,,,
k200708,k200497;k181727;k181685;k160078;k191792,nan,nan,1,1,2,Multi,OCT,artificial intelligence,the vivid iq is high performance compact diagnostic ultrasound system designed for cardiovascular and shared services it is intended for use by qualified and trained healthcare professionals for ultrasound imaging measurement display and analysis of the human body and fluid vivid iq clinical applications include fetal obstetrics abdominal includes gyn urology pediatric small organ includes breast testes thyroid neonatal cephalic adult cephalic cardiac includes adult and pediatric peripheral vascular musculoskeletal conventional musculoskeletal superficial transcranial transrectal transvaginal transesophageal interventional guidance including biopsy intraoperative vascular intracardiac and intraluminal modes of operation include b m pw doppler cw doppler color doppler color m power doppler harmonic imaging real time rt 3d mode 4d coded pulse and combined modes b m b color m b pwd b cwd b color pwd b color cwd b power pwd the device is intended for use in an indoor hospital environment including echo lab other hospital settings operating room cath lab and ep lab in private medical offices and in limited settings outside of professional healthcare facilities,0,0,0,,,"system, imaging, pulsed doppler, ultrasonic",vivid iq,tracey  ortiz,tracey  ortiz,tracey  ortiz,892.155,iyn,3/18/20,9/9/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf20/k200708.pdf,traditional,no,no,,,
k200714,k183268;k043617;k193220;k171199;k990426;k141069,nan,nan,1,1,2,"Heart,Lung",CT,deep learning,aview provides ct values for pulmonary tissue from ct thoracic and cardiac datasets this software could be used to support the physician quantitatively in the diagnosis follow up evaluation and documentation of ct lung tissue images by providing image segmentation of sub structures in lung lobe airways and cardiac registration of inspiration and expiration which could analyze quantitative information such as air trapping volume air trapped index and inspiration expiration ratio and also volumetric and structure analysis density evaluation and reporting tools aview is also used to store transfer inquire and display ct data set on premise and as cloud environment as well to allow users to connect by various environment such as mobile devices and chrome browser characterizing nodules in the lung in a single study or over the time course of several thoracic studies characterizations include nodule type location of the nodule and measurements such as size major axis minor axis estimated effective diameter from the volume of the nodule volume of the nodule mean hu the average value of the ct pixel inside the nodule in hu minimum hu max hu mass mass calculated from the ct pixel value and volumetric measures solid major length of the longest diameter measured in 3d for solid portion of the nodule solid 2nd major the length of the longest diameter of the solid part measured in sections perpendicular to the major axis of the solid portion of the nodule vdt volume doubling time and lung rads classification proposed to aid with findings the system automatically performs the measurement allowing lung nodules and measurements to be displayed and integrate with fda certified mevis cad computer aided detection k043617 it also provides cac analysis by segmentation of four main artery right coronary artery left main coronary left anterior descending and left circumflex artery then extracts calcium on coronary artery to provide agatston score volume score and mass score by whole and each segmented artery type based on the score provides cac risk based on age and gender,0,0,0,,,"system, image processing, radiological",aview,hyeyi  park,hyeyi  park,hyeyi  park,892.205,llz,3/18/20,8/26/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf20/k200714.pdf,traditional,no,no,,,
k200743,k181685;k163077;k150087;k051449;k170823,nan,nan,1,1,2,Heart,Ultrasound,artificial intelligence,vivid e80 vivid e90 vivid e95 is a general purpose ultrasound system specialized for use in cardiac imaging it is intended for use by or under the direction of a qualified and trained physician for ultrasound imaging measurement display and analysis of the human body and fluid the device is intended for use in a hospital environment including echo lab other hospital settings operating room cath lab and ep lab or in private medical offices the systems support the following clinical applications fetal obstetrics abdominal including renal gyn pediatric small organ breast testes thyroid neonatal cephalic adult cephalic cardiac adult and pediatric peripheral vascular musculo skeletal conventional musculo skeletal superficial urology including prostate transesophageal transvaginal transrectal interventional guidance including biopsy vascular access and intraoperative vascular modes of operation include 3d real time rt 3d mode 4d b m pw doppler cw doppler color doppler color m doppler power doppler harmonic imaging coded pulse and combined modes b m b color m b pwd or cwd b color pwd or cwd b power pwd,0,0,0,,,"system, imaging, pulsed doppler, ultrasonic",vivid e80/ vivid e90/ vivid e95,tracey  ortiz,tracey  ortiz,tracey  ortiz,892.155,iyn,3/23/20,7/23/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf20/k200743.pdf,traditional,no,no,,,
k200755,den190040,17,nan,1,1,2,Heart,Ultrasound,artificial intelligence,the caption guidance software is intended to assist medical professionals in the acquisition of cardiac ultrasound images the caption guidance software is an accessory to compatible general purpose diagnostic ultrasound systems the caption guidance software is indicated for use in two dimensional transthoracic echocardiography 2d tte for adult patients specifically in the acquisition of the following standard views parasternal long axis plax parasternal short axis at the aortic valve psax av parasternal short axis at the mitral valve psax mv parasternal short axis at the papillary muscle psax pm apical 4 chamber ap4 apical 5 chamber ap5 apical 2 chamber ap2 apical 3 chamber ap3 subcostal 4 chamber subc4 and subcostal inferior vena cava sc ivc,0,0,0,,,image acquisition and/or optimization guided by artificial intelligence,caption guidance,sam  surette,sam  surette,sam  surette,892.21,qju,3/23/20,4/16/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf20/k200755.pdf,traditional,no,no,,,
k200760,den170022,50,nan,1,2,3,Head,CT,neural network;machine learning;artificial intelligence,,1,0,0,0,vendors,computer-assisted diagnostic software for lesions suspicious for cancer,rapid aspects,jim  rosa,jim  rosa,jim  rosa,892.206,pok,3/24/20,6/26/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf20/k200760.pdf,traditional,no,no,,,
k200851,k200497;k181727;k181685;k160078;k191792;k181934,nan,nan,1,1,2,Multi,CT,artificial intelligence,the vivid t9 vivid t8 is a general purpose ultrasound system specialized for use in cardiac imaging it is intended for use by qualified and trained healthcare professionals for ultrasound imaging measurement display and analysis of the human body and fluid the device is intended for use in a hospital environment including echo lab other hospital settings operating room cath lab and in private medical offices the systems support the following clinical applications fetal obstetrics abdominal includes gyn urology pediatric small organ includes breast testes thyroid neonatal cephalic adult cephalic cardiac includes adult and pediatric peripheral vascular musculoskeletal conventional musculoskeletal superficial transcranial transesophageal transrectal transvaginal interventional guidance including biopsy fluid drainage intraoperative vascular modes of operation include b m pw doppler cw doppler color doppler color m power doppler harmonic imaging coded pulse and combined modes b m b pwd b color pwd b power pwd,0,0,0,,,"system, imaging, pulsed doppler, ultrasonic","vivid t8, vivid t9",tracey  ortiz,tracey  ortiz,tracey  ortiz,892.155,iyn,3/31/20,9/9/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf20/k200851.pdf,traditional,no,no,,,
